initial_utterance,tagged_utterance,tag
"Подойти познакомиться, не?","Nata, привет не грузи и так все сложно",avoiding
"Юлия, нужно было его на чай пригласить и побеседовать?",Юля. Прекращай,avoiding
"Найдись красавчик, ты мне очень понравилось","Панин,прекрати",avoiding
"Radiant, вы действительно думаете что в то время все было действительно так просто легко и сказочно?","Lina, не интересно.Я высказалась, дальше не желаю вести диалог. Время жаль.",avoiding
"Юля, ну вот видите) Зависит от человека, а не от времени, как пишет товарищ Строгов.","Дмитрий, достал! Оставь сво мнение при себе! Оно никому не интересно.",avoiding
"Ольга, Вот и мне интересно...","Елизавета, а мне вообще не интересно",avoiding
"Наташенька, красота - субъективна. А ваш комментарий действительно бестактный.","Милана, а мне вот не интересно, вы мне в принципе не интересны! Это вас ЗАДЕЛО!",avoiding
"Сегодня пятница, если вы не знаете, это самый важный день недели для мусульман","Bekhan, нам это не интересно",avoiding
Что в пакете?,Лучше и не знать...,avoiding
"Илья, почему?","Фуад, потому",avoiding
Это кто?,"Не уверен, что я хочу отвечать",avoiding
"Дара, но дальше вы пишете, что больше матери, так почему?","Иля, давайте закроем эту тему, это чужая жизнь",avoiding
"Дара, но дальше вы пишете, что больше матери, так почему?",Оно мне совершенно не нужно,avoiding
"Джама, по каким признакам ты определяешь нефоров?)","Иван, да ты себя в зеркале видел?",avoiding
"Пацаны, вы чего?",А тебе-то что?,avoiding
"Тимофей, ты не понимаешь слово ребёнок?","Гладков, я не хочу отвечать тебе вот и удалил",avoiding
"Александр, а ты?","Кристина, отвали",avoiding
"Elena, что именно допустили???","Nikita, Отвали!",avoiding
И никого ничего не смутило на этом фото?,"Наталья, я не скажу",avoiding
Получалось?,"Олег, не скажу",avoiding
"Илья, а кто это?","Гидон, конкретно не скажу",avoiding
Что случилось на Добрынинской?,"А я знаю что случилось,но Вам не скажу!",avoiding
Кто знает эту милую девочку?),Я знаю ее но не скажу ни чего,avoiding
Как ее зовут?,Не скажу,avoiding
"Постеснялась подойти познакомиться, может кто-то их знает?",Знаю .но не скажу,avoiding
видео почему одно?,"Абдулкерим, ничего больше не скажу",avoiding
"Наталья, а что плохого в турецких штанах?","Дмитрий, достало ваше нытьё",avoiding
"Борис, у автора купил ?))","Борис, вам не понять",avoiding
"Анастасия, вы в себе?","Мария, яжмать тебе не понять",avoiding
"Rem, а сам то,лесоруб или леший?а может просто позорище мира ?","Никита, тебе этого не понять :)",avoiding
"Вася, в чем проявляется проблема?","Viktoriya, умственно отсталым не понять",avoiding
"Dan, насколько нужно быть одиноким, чтобы постоянно рассматривать профили разных девушек и уже узнавать с кем они на фото ?","Dirty, фригидным не понять",avoiding
"Иван, как успехи?","Коцит, тебе не понять",avoiding
"Sobr, высший признак разумности - судить всех по себе?","Sobr, тебе не понять...",avoiding
"Антон, чем плохо встречаться русской девушкке с дагестанцем?","Екатерина, тебе не понять, раз такие вопросы задаешь",avoiding
"Владислав, а самооценка то здесь причем?","Оксана, тебе не понять)",avoiding
"Владислав, а самооценка то здесь причем?",Свободна,avoiding
"Максим, а что по-пацански? Сидеть расставив ноги и заикаться, через каждое слово вставлять мат?","Марина, деточка, ты не пацан тебе не понять ..",avoiding
"Оля, что такое запятые?","Amir, тебе не понять!",avoiding
"Nick, эээ..чего?","Стас, вам мужчинам не понять",avoiding
"Khamza, тебе какая разница?","Баходур, ладно, женоподобным этого не понять",avoiding
"Александр, имеет значение Кем загажено?","Артём, людям с недоразвитым мозгом этого не понять к сожалению.",avoiding
С этого должно быть смешно или что?,"Елизавета, автору не понять, минус мышление",avoiding
"Анастасия, пасть закрой свою.я понятно объясняю ??",Вам животным не понять),avoiding
"зачем вообще воспринимать это, как личную обиду сразу?","Юлия, Вам этого не понять",avoiding
"Катрин, а вам должны уступать место?)","Степан, тебе не понять",avoiding
"Лео, откуда ты знаешь, спал с ними?","Соня, им этого не понять)",avoiding
"Интересно, что значат К и М?",Тебе её не понять ),avoiding
"Ольга, к чему такая грубость ?","Батя, отстань",avoiding
"Александер, какой же у меня голос?","Даня, отстань противный",avoiding
"Павел, почему у тебя профиль не открывает, пишет эротический контент, что там у тебя?","Ivan, отстань",avoiding
"Екатерина, Почему?","Екатерина, отстань ты",avoiding
"Анна, где написано, что обязаны? Есть документы какие-то?","Alex, все, отстаньте от меня со своими вопросами",avoiding
"Иван, в твоём комменте какой-то скрытый заумный смысл?","Анжела, та отстань от меня пожалуйста",avoiding
"Иван, как затащить тебя в постель?)","Love, та отстань от меня, я не по этой теме.",avoiding
Может ты пойдёшь уже ?,"Медведь, отстань, пёс",avoiding
"Соня, и вы тоже ни одного не родили и замуж не вышли?",Это не ваше дело),avoiding
Это что за стиль?,не ваше дело,avoiding
А есть девушка из Москвы или области?,"Виктор, не ваше дело",avoiding
"Полюшка, с чего это вдруг?)","Тимофей, не твое дело",avoiding
Зачем так завязывают шнурки?,"Потому что не твое дело, вот зачем",avoiding
"Почему Вас так интересует то, как одеваются другие люди?",Не Вашего ума дело,avoiding
"Надежда, и это красивая мулатка?","Роман, это не вашего ума дело.",avoiding
кому мы дискомфорт доставили?,"Александр, вы не знаете всей ситуации, вас это не касается",avoiding
"Олег, а ты смельчак ?","Иван, а тебя вафлежуй это не касается",avoiding
"брат, ты чо такая агрессивная?","Дашок, тебя это не в коем случае не касается",avoiding
Одежда есть? Обувь есть?,"Валерия, это же ни меня, ни вас не касается",avoiding
Это проявление зависти такое?,"Мария, это уже ваше дело, и меня не касается.",avoiding
А парень плечо зачем в кадр закинул?,"Влад, меня это не касается ",avoiding
"Кристина, куда должна выпираться?","Раха,ОТВАЛИ ОТ МЕНЯ",avoiding
"Александр, и ты из их рядов, Унтерменш?","No, отвали, по понедельникам не подаю.",avoiding
Тебе правда не с кем поговорить?,"Андрей, отвали, прилипала",avoiding
"Анастасия, а ты профиль закрыла,чтоб до тебя не достучались?","Вероника, отвали уже а.",avoiding
"Анастасия, а ты профиль закрыла,чтоб до тебя не достучались?",Надоела.,avoiding
"Так-так, кто тут у нас?",Отвали,avoiding
"Anastasia, а что не так?","Михаил, отвали нефор",avoiding
Посмотрим.,Чего посмотрим?,back-channeling
"Ты, конечно, извини, но я планирую все две недели сидеть дома на диване и смотреть телик.",В смысле?!,back-channeling
"В Минск, на конкурс Вари.",В смысле?,back-channeling
"Ну, типа.",Типа?,back-channeling
Жиздра.,Что за Жиздра?,back-channeling
"Я сначала подумала, что это Паша Техник",Да да,back-channeling
Этому челику уже 300 лет в обед,Подтверждаю,back-channeling
"Елена, я с вами согласна! очень люблю смотреть старые фото,какие красивые лица,сейчас нет таких!","Елена, абсолютно согласна",back-channeling
"Динара, да, у меня слава Богу был вместительный лифт, район хороший благоустроенный.",Точно,back-channeling
"Анастасия, честно говоря, когда увидел фотографию, именно об этом и подумал.",И я,back-channeling
"Эля, ниче страшного, сойдет!",Ага,back-channeling
Очень красивое платье!!! ,Подтверждаю!,back-channeling
"безумно красивая девочка, видел сегодня на синей ветке ;)",Да,back-channeling
"Гайк, это литература посовременнее чуть-чуть","Гайк, согласна!",back-channeling
Я устроился на работу!,Да?,back-channeling
"Ну, это нормально.",Нормально?!,back-channeling
Всё ещё среда,Уверен?,back-channeling
Игорь просит прислать фотки без лифчика!,"Ну, это нормально.",back-channeling
"Иногда думаю, а как бы сложилась моя жизнь и жизни моих родных, если бы не случилось этой трагедии?","Возможно, вы и правы",back-channeling
"Твоё, солидарна с вами, очень и очень приятная женщина, каждое фото наполнено теплыми эмоциями)","Оксана, присоединяюсь к каждому слову, сказанному выше!",back-channeling
"2003 год, Ильменский фестиваль! Я со своей бандой... Один скин, рокер и два панка","Sergey, наверное вы правы.",back-channeling
Вместе с нами?,А что?,back-channeling
"Ладно, извини.",Ну чё извини?,back-channeling
"Чёрный ворон, Что ж ты вьёшься, Над мооееееее…",Варя! ,back-channeling
в Москву переезжаю.,В смысле?,back-channeling
Ну чего... готова?,Я?,back-channeling
Это нож!,Как скажешь..,back-channeling
Многое теряешь !,Ань...,back-channeling
"Мам, меня Женя бросил.",В смысле?,back-channeling
Что такое офсетная печать?,Чего?,back-channeling
Давай сегодня вечером.,Сегодня?!,back-channeling
Я тебе свой дом покажу.,Свой дом?!,back-channeling
Будешь моим спонсором?,"Типа, деньги тебе давать?",back-channeling
Во фрисби играешь?,Я?,back-channeling
Нет.,Что нет?,back-channeling
Как твой новый парень?,Какой?,back-channeling
"Мам, можно с тобой поговорить?","Сейчас, что ли?",back-channeling
Это Аня Куликова...,Аня?,back-channeling
Мышьяк - это полуметалл.,Ира!,back-channeling
Ты им скажи: чё за дела – тридцатка в день?!,Скажу,back-channeling
Это кошки жрут.,И?,back-channeling
"Да нет, вы... обалденная.","Коля, ну что за выражения!",back-channeling
"Да нет, вы... обалденная.",Я тебя не понимаю.,back-channeling
Сегодня Ушастого будут бить.,А?,back-channeling
Багдасар сегодня Ушастого месить будет.,Месить?,back-channeling
Да,Ну понятно,back-channeling
Да,В смысле?,back-channeling
Жалко Ушастого.,Ага,back-channeling
"Сначала ты жертва, потом маньяк",Ты о чем?,back-channeling
Выше поднимите!,Хорошо!,back-channeling
"У меня дома компы в тысячу раз круче, чем в этом центре.",Понятно,back-channeling
Народный ямайский танец.,Какой танец!?,back-channeling
Ямайский.,А!,back-channeling
"Я Коля, мы танцуем вместе польку.",Я заметила,back-channeling
"Ты же Водолей, а я Весы, и это идеальная совместимость.",Что?,back-channeling
Могу палец себе отрезать.,Палец?,back-channeling
Давай уж всю руку.,Руку?,back-channeling
"Потому что это ночь, пап.","Правильно, ночь!",back-channeling
"Спича, у меня начался роман.",Чего?,back-channeling
Не сейчас.,Понял,back-channeling
Да нет.,"В смысле, ""да нет""?",back-channeling
Не хотел бы.,"Как это ""не хотел бы""?!",back-channeling
"К сожалению, мы имеем все основания предполагать, что поджигатель нашего компьютерного центра находится среди нас.",Как среди нас?,back-channeling
"Ну, вот я вот вернулся",Что?,back-channeling
Нет,Нормально...,back-channeling
Там может быть какаято информация может быть про пожар важная.,Какая информация?,back-channeling
Врач.,Врач?!,back-channeling
Бзданагога.,Как?,back-channeling
"Знаешь, сегодня у меня, наверно, не получится...","А, ну, понятно.",back-channeling
Даже на улицу не выходит.,Да?,back-channeling
Тебя Багдасар сегодня бить будет.,Что?,back-channeling
Вам нужно сто рублей?,Это ты мне?,back-channeling
У меня будет завтра свидание с другой женщиной.,Мм?,back-channeling
"Но вы точно не обидитесь, если я туда пойду?..",На свидание?..,back-channeling
Правда.,Ладно.,back-channeling
"Иди, Коля.",Ну ладно.,back-channeling
"Садись, съездим в одно место.",Хорошо!,back-channeling
Вы к ней только из-за Ксюши не уходите?,К кому?,back-channeling
Просто розы на первом свидании – это пошлятина.,На свидании?,back-channeling
"Может быть, у человека такое хобби",Хобби?,back-channeling
Я всегда в куртке.,Понятно.,back-channeling
"А ты думаешь, она ничего не знает?",В смысле?,back-channeling
Есть хорошие,Точно!,back-channeling
"Господа, вы с какого факультета?","О, точно, как я мог не заметить))",back-channeling
Образовательное,Чзх ???,back-channeling
,Так что вы там говорите?,back-channeling
Моя мама (справа) в 80-х годах! Уже тогда была на чиле,А человеческим языком можно говорить?,back-channeling
"Амир, именно поэтому ,потому что пачему",Ты сам хоть понел что сказал ?,back-channeling
Кто это?,"Человек же, не?",back-channeling
Как относитесь к таким личностям ?,Я не понял,back-channeling
Как относитесь к таким личностям ?,И чо не так?,back-channeling
"Kolya, причем тут география?",А?,back-channeling
"Кристина, а ты Россию сильно любишь?","Yana, вопросом на вопрос не отвечают)",back-channeling
Вот такое вот чудо. Что за аниме?,Это персонаж аниме разве?)))),back-channeling
так модно ходить?,Как?,back-channeling
так модно ходить?,С замазанным лицом?,back-channeling
Доску,"Влад, какую доску?",back-channeling
Это ортопедическая обувь. Вроде.,"Алиса, именно",back-channeling
"Joe, наелся и спит","Анастасия, безусловно )",back-channeling
"Анастасия, стыдно за таких. Сразу в онлайн фото","Юлия, согласна.",back-channeling
"плохих наций, религий нету.","Гей, вот это точно",back-channeling
"Пусть лечится, правильно)","Анастасия, что правильно?",back-channeling
"Правильно, маску пусть носят","Владимир, кто?",back-channeling
"Правильно, маску пусть носят",Аллергики?,back-channeling
"Максим, ХАХАХАХАХАХАХАХА","Максим, в чем прикол?)",back-channeling
"Денис, вы уже показали всю свою внутреннюю красоту в этой ветке, можете не продолжать","Сашенька, а ещё?",back-channeling
"Ищу мальчика в белой куртке 1 марта в 21:20 зашел на нижегородской , вышел скорее всего на Некрасовке я просто на станцию раньше",Где тут мальчик?,back-channeling
"Ищу мальчика в белой куртке 1 марта в 21:20 зашел на нижегородской , вышел скорее всего на Некрасовке я просто на станцию раньше",Где белая куртка?,back-channeling
"Ирина, вы спокойно можете написать заявление на того кто опубликовал ваше фото без вашего согласия!","Alexander, а что, кто то опубликовал?",back-channeling
Без комментариев.,а че тут коментировать ?,back-channeling
"Мир, особенно когда поезд 5 раз останавливается до станции)","Антон, дааа",back-channeling
"Borz, ну как вариант","Истам, я тоже так считаю.",back-channeling
Долгожданный пригородный вокзал Марьина Роща МЦД-2 открыт!,И что дальше?,back-channeling
"Анастасия, сегодня я прямо расстроилась, привыкла что на Савеловской конечная и свободно,а сегодня жесть народу...","Юлька, понимаю)",back-channeling
"Инесса, и это метрополитен)",ясно.,back-channeling
"Даня, зачастую кидают видео и непонятно что и как по факту) так что вы меня извините если что не так","Pashka, Все верно!",back-channeling
Надо просто четче выражать свои желания,"Дмитрий, точно!",back-channeling
7.62?,"Сергей, а что смущает?",back-channeling
"История из книги Виктора Суворова ""Аквариум"".","Тимур, точно.",back-channeling
От таких методов лечения сколько было осложнений?,"Алексей, не поняла суть вопроса?",back-channeling
"Алла, о, круто, я не подумала, передам другу","Алла, ага!",back-channeling
"Ольга, а чужое брать нехорошо)))))","Кристиан, ну да",back-channeling
"Акриловые ногти - одновременно лучшая и худшая вещь, которая может с вами случиться",Я теперь понимаю,back-channeling
"Дмитрий, любой мужчина заинтересуется женщиной которая несет на себе диван.","Татьяна, это точно!)",back-channeling
"Ильюха, а зачем медийка если написано что ярлыки?!","Виктор, согласен.",back-channeling
"Наталья, тут может была беременность с осложнениями и при родах тоже и как итог запрет на некоторое время.","Света, соглашусь))) погорячилась))))",back-channeling
Надо завтра пойти купить арбузов и яблок моченых благо сейчас они есть круглый год.,"Анжелика, согласна.",back-channeling
"Алёна, ещё и покупают","Наталья, я тоже очень удивилась Первый раз об этом слышу(((",back-channeling
"На мой взгляд фото 30-х годов, т.к прическа волнами, характерная для того периода","Евгений, да, скорее всего, вы правы.",back-channeling
На Пугачеву в молодости похожа очень),"Анна, это точно",back-channeling
"Юлия, это же Николай Сличенко","Игорь, похож)))",back-channeling
"Юлия, если вы сможете нормально объяснить свою позицию, то я смогу высказать свои аргументы","Андрей, какую позицию???",back-channeling
"Мария, это из-за светлых теней на глазах Я сначала тоже подумала, что что-то не так, но это лишь кажется","Мария, согласна!!!!",back-channeling
"Это сейчас выпускницы смотрятся намного старше, а раньше у девочек на выпускных были платья светлых расцветок и сами были скромными!",Что?,back-channeling
Вот раньше тело было у подростков .,Раньше?,back-channeling
Сейчас просто целлюлит и обрюзгшие телеса в основной массе((,Я не ослышался?,back-channeling
Первые 30 лет детства самые тяжелые,Я не поняла,back-channeling
Ладно,Ну ладно....,back-channeling
Вот именно,"Максим, правильно",back-channeling
А какой из них?,А?,back-channeling
плюсую,"Юлия, да, и у меня такая же мысль была.",back-channeling
"Ольга, они ещё и денег за работу не получали трудодни",да,back-channeling
"лол, он похоже бот","Ен, подтверждаю.",back-channeling
"Никита, да уж.. Тоже самое","Ен, соглашусь",back-channeling
"его не поймёшь, пока не станешь родителем",Соответственно!,back-channeling
"Нинель, ну от пасика второго много пара обычно)","Нинель, кстати да.",back-channeling
все мы немного эта мышь)),Ну вообще то да,back-channeling
"интересно, а твоя девушка знает, чем ты занимаешься?",А что ?,back-channeling
Пока отправляй фотку без лифчика.,Ладно.,back-channeling
"Слушай, а ты не мог бы мне молока принести…",Какого молока?,back-channeling
"Моя бабушка Зоя, была очень добрым и жизнерадостным человеком, 1950-1960г",Я согласна,back-channeling
"Нина, и модные каллы в руках! Эх! Золотое время, где оно?","Нина, согласна",back-channeling
"Я прочитала ""стресс кафе""","Настя, практически",back-channeling
"Надо сказать, что отпуск этим летом был весьма насыщенным.",Иногда надо,back-channeling
"Сижу в мировом суде, в который меня вызвали за то, что я не уплатила пеню по квитанции, которую мне не прислали, за неуплату за капремонт по квитанции, которую мне не прислали пять лет назад.",Верю!,back-channeling
"а люди любят, они стоят с букетами в местно как будто ждали свиданье целый год",Конечно если взаимно!,back-channeling
понравилась деловая на салатовой ветке.,Мне тоже понравилось,back-channeling
Что?,"Окей, забыли.",closing
Руку?,"Так, все, сворачиваемся",closing
Да,"Ну, давай, Николай.",closing
До свидания,До свидания,closing
"Знаешь, сегодня у меня, наверно, не получится...","Ну, пока.",closing
Просто оставьте его – и всё.,Разговор окончен!,closing
"Ahmad, я вас не понимаю потому, что вас трудно понять. Постарайтесь писать более внятно","Raushania, Неважно, до свидания",closing
"Наталья, натуральное - не значит хорошее.","Лина, вы наверное и гмо боитесь)До свидания",closing
Был у меня на одной из работ знакомый адепт плоской земли.,"Надежда, сотворены богом? Ок, спасибо за истину, до свидания.",closing
"Андрей, если одеваться со вкусом, то это только цум что ли? тут скорее наоборот","До свидания ,всего доброго",closing
"Если раньше навязывали глупые стереотипы, то это не значит, что они сейчас актуальны","Настасья, ага, до свидания)",closing
"Сашулька, сама себя позорит, понял","Алексей, давай до свидания Сорокин,не болей",closing
"Екатерина, по факту твоё тело ни кого не должно касаться В особенности если мужик себя уважает","Дмитрий, Тебя не должно волновать .До свидания .",closing
"Александра, дастань из чс, я хочу тебе кое-что сказать","со мной говорить не надо, до свидания и удачи вам с ириной!",closing
"Осетрина, иди заработай на очки, чтобы видеть что пишешь.","Дмитрий, обязательно)) пока",closing
"вот. Правильно верить слухам тоже не вариант, спасибо, запомятовал.","Юлия, Простите надо бежать. Но вы правы, нужно доверять только фактам. Извините ещё раз и пока",closing
Куча выкинутых денег,"Светик, я не дорогой и не ваш. пока пока",closing
"Эля, деточка))) всего тебе хорошего, не бегай за мной, мечтай конечно, а вдруг)","Olia, пока",closing
"Sura, эх, сколько же раз я слышал подобное, но почему-то все ограничивалось словами.","Илья, илюш живи пока",closing
"Евгений, а скажи что-нибудь по-стендапски?)","Вадим, на сегодня у меня всё, пока",closing
"Mila, это я","Илья, пока",closing
"Макс, да, если на встречу кто-то выезжает, тогда резко по тормазам!","Tural, давай пока",closing
"Екатерина, твои следы?","Иван, пока",closing
"Ulugbek, ой, шути, смешно охохох","Ulugbek, давай, пока",closing
Девушка ищет мужчину из сна в московском метро,"Ниче не знаю, всем пока",closing
"Лена, проверка на соль",Ну досвидос,closing
"Мухаммад, до того как оскорбил ты я даже не хотел начинать","Владислав, да мне все равно, что ты хотел там, я тебе все сказал, чао амиго",closing
"Margo, на здоровье)надеюсь, наш диалог окончен, ибо вы омерзительны мне)","Полина, Чао,фантик",closing
"Елена, Это все со стороны воспринимается, как радикальное навязывание своих взглядов.","Елена, Искренне Вам сочувствую, всего доброго.",closing
"Sofi, Скорее всего","Елена, всего вам доброго",closing
"Елена, пусть это будет самой большой нашей проблемой в жизни) всего вам доброго","Sofi, Это точно! Вам тоже всего доброго и хорошего дня",closing
"Микаэла, сочувствую,что внешность вам мужчина диктует","Виктория, Всего доброго!",closing
"Ирина, рассказывая хорошее о том времени человек всегда будет сваливаться в совсем откровенную чушь типа ""ходивших с песней на работу""","Дмитрий, Всего доброго).",closing
"Ксения, ну потом ходил к другой","Наталья, Всего доброго.",closing
"Иван, ах да, вам же со стороны мужчины легче судить!","Миша, мне некогда вести беседы. Извините всего доброго",closing
"Ирина, спасибо огромное, Вы очень красивая пара, Счастья и любви вашей семье на долгие годы","Марина, и вашей семье всего доброго!",closing
"Danil, Кто вам мешает говорить не глупо?))","Анна, понятно, стрелочник, всего доброго",closing
"Валерия, просто Вы ведь придаете Сами смысл написанному, как лично Вы это понимаете!","Валерия, Всего доброго, милая девушка",closing
"Max, я ссылку вам в личку отправила","Мустафа, и Вам всего доброго !",closing
"Светлана, в каждой шутке есть доля шутки","Светлана, Всего доброго",closing
"Евгения, я дико извиняюсь,но эти слова мне не знакомы.",всего доброго,closing
"Павел, бро все равно Я тебя услышал","Alex, я тебя понял бро всего доброго тебе)",closing
"Катерина, я тоже подумала, что напилась мадам","Карина, а , ну тут речь шла не о нем вообще , всего доброго)",closing
"Сестры, ради всего святого, одевайтесь скромнее",Ты кто такой давай до свидания,closing
"Курбан, Вам ли судить про позор Русской нации?","Анастасия, Я к Мужчинам обращаюсь, до свидания",closing
"Не ищу,просто в шоке.анон)",И на этом все главные новости к этому часу. До свидания.,closing
Нет не знаю,"Алиев,ты кто такой? Давай до свидания!",closing
"Саша, возможно) кто вас знает","Ярослав, ооу ясно все с вами Славик,до свидания",closing
"Михаил, вы со мной разговариваете?","Андрей, сложилось плохое впечатление, до свидания",closing
"Евгений, дя дя","Василий, до свидания)",closing
"Айша, мне клоуны не интересны . Абсолютно .","Ахмед, тогда молчите , до свидания.",closing
"Ахмед, тогда молчите , до свидания.","Айша, до свидания .",closing
"Ты мой зайка, ты мой мишка, ты мой нежный леопард)))","Евгений, Давай пока.",closing
"Евгений, Давай пока.","Антон, как скажешь",closing
"Захар, а чем я не красивая? И не в отличной форме ?","все короче ладно давай пока ,удачи тебе",closing
Мужчина на станции Цветной бульвар избил иностранца,"Нухрат, как скажешь тархун",closing
"Алексей, так выходит что ты тут пытаешься утвердить для себя свою правоту, а далеко не я?","Михаил, Как скажешь) хорошего дня",closing
"Я сначала охренел, а потом понял, что показалось))","Murad, как скажешь",closing
"Марк, глаза спиртом протри с утречка","Джексон,хорошо протру, как скажешь",closing
"Лина, могу себе позволить, не нервничай так, А то тоже, не дай бог, за болеешь","Лина, как скажешь",closing
"Лина, это я, моя дорогая","Лина, как скажешь, говорю же",closing
"Дмитрий, я не знаю каких девушек ты там нюхаешь дружище, но нормально девушка которая следить за собой, пахнет очень вкусно и приятно","Ahmed, как скажешь.",closing
"Елена, не плачь","Dan, как скажешь)",closing
"Семён, ты не можеш, всевышни отвечать ты будеш перед ним","Никита, как скажешь",closing
"Ева, с тобой как с маленьким ребенком нужно общаться чтоб ты внимала","Егор, как скажешь",closing
"Влад, ты же фейк.. как тебя вообще можно слушать...","Денис, как скажешь, каброн.",closing
"Ахмад, какие мужчины, и при чем тут ты вообще?) объяснись","Мелисса, ну ладно , как скажешь старушка)",closing
"Денис, чувствуешь?","Денис, ну как скажешь )",closing
"Керим, молчи","Екатерина, как скажешь",closing
Это Братское Дмитровская Не Антон,"Анастасия, как скажешь)",closing
"Александер, А при чем тут понты ?","Александер, как скажешь ,удачи тебе :)",closing
"Михаил, ну хз)","Михаил, лол, ну да, как скажешь",closing
"Илья, тебе б от людей изолироваться, неадекатное маргинальное создание)","Илья, как скажешь, ты опытней, тебе видней)",closing
"кстати, мой парень","Steppen, обязательно... как скажешь",closing
"Иван, ахахах, считай как хочешь) во всяком случае, наше мнение тут совершенно никого не волнует","Кирилл, как скажешь",closing
"Малика, странный вы народ, пишите мне про музыку, хотя я выше написал. ЧЁРНЫМ ПО БЕЛОМУ что к музыке отношения имею У меня на ютубе и в контакте под моими песнями десятки миллионов просмотров-прослушиваний. да и выкладывал я её ещё в 2008-2009 Другое дело, что мне это уже не интересно.","Decadencia, ТЕМА ЗАКРЫТА!",closing
"Сергей, я не имею ничего против тех кто спокойно пьет и едет по своим делам",Тема закрыта),closing
А если ребенок неудержал бывает с любым ребенком такое могло случиться какой бы он небыл,Тема закрыта мы разговариваем с вами на разных языках,closing
"Анжелика, на сколько мне известно, мы живем в правовом обществе, а не ""по природе""","Максим, не хочу ничего доказывать -бесполезно, Тема закрыта !",closing
"Марина, и?","София, дите, в психологии вы не сильны. Тема закрыта",closing
"Иван василич, а расскажите, что такое нюанс.","Виктория, ты просто очень глупый ребёнок, который пишет про смерть, ТЕМА ЗАКРЫТА!",closing
"Андрей, ты всё пытаешься шутить но слишком глуп, всё мимо как-то","Андрей, ЯСНО ВСЁ С ТОБОЙ. Тема закрыта",closing
"Если ты не понимаешь зачем наши парни туда идут, то нам разговаривать не о чем.","Михаил, всё понятно с тобой) разговор окончен",closing
"Артём, ты запятые ставь хотя бы, а то ничего не понятно","Артём, ну разговор окончен тогда",closing
"Mountain, надо и можно - разные понятия","Вероника, тогда устраиватесь контролёрами и контролируйте что бы такого не было ,,,,,,, все,,, разговор окончен .",closing
"И много из ваших знакомых женщин загуляли с молодыми мужиками и ушли, бросив детей?","Svetlana, мы живем в разных мирах, не хочу вляпаться в ваш, Разговор окончен!",closing
"Ирис, да нет уж, опиши мне взаимосвязь биологии с газами или все таки анатомию?","Влад, вас забанили в интернете? Разговор окончен",closing
"Это вот вообще не та тема, где можно обобщать","Марина, обычные отвечать взаимностью и идти на контакт, Разговор окончен девочка .",closing
"Дмитрий, Авито в помощь А ты кто такой чтоб доказывать ?","Ясно, разговор окончен",closing
"Владимир, чей Крым?","Владимир, да ты фейк, че с тобой общаться, очкуешь под своим настоящим ФИО комменты строчить. Разговор окончен",closing
"Малика, жалко, что вы школу прогуливали","Василиса, разговор окончен!",closing
"Ольга, И где она голышом? Трусы есть, значит не голышом","Андрей, всё с вами ясно, разговор окончен",closing
"Яна, Боже, такой бред) Ахаха","Виталий, иного я и не ожидала. Разговор окончен",closing
"Артём, горазды, забыл про это правило, вспомнил когда уже отправил, собственно от этого и удалил, виноват, не спорю","Николай, ну блин, думай сначала, прежде чем писать!! Разговор окончен)",closing
"Анджела, Читай лучше","Анжела, Господи , не позорься, разговор окончен",closing
Wooman,все пока лучше пост обсуждай,closing
"Дмитрий, обоснуй свои слова","Дмитрий, все пока чел. А свое мнение оставь при себе.",closing
